Time (s),Temperature (°C),Frequency (Hz),Magnitude,,,,,,,,,,,
0,24,0,1438.04,,,,,,,,,,,
1,24,0.02,0.44,,,,,,,,,,,
2,24,0.03,0.17,,,,,,,,,,,
3,24,0.05,0.11,,,,,,,,,,,
4,23.98,0.07,0.16,,,,,,,,,,,
5,23.98,0.08,0.12,,,,,,,,,,,
6,23.98,0.1,0.09,,,,,,,,,,,
7,23.98,0.12,0.12,,,,,,,,,,,
8,23.98,0.13,0.12,,,,,,,,,,,
9,23.98,0.15,0.05,,,,,,,,,,,
10,23.98,0.17,0.11,,,,,,,,,,,
11,23.98,0.18,0.09,,,,,,,,,,,
12,23.98,0.2,0.03,,,,,,,,,,,
13,23.98,0.22,0.09,,,,,,,,,,,
14,23.98,0.23,0.04,,,,,,,,,,,
15,23.98,0.25,0.05,,,,,,,,,,,
16,23.98,0.27,0.06,,,,,,,,,,,
17,23.98,0.28,0.02,,,,,,,,,,,
18,23.98,0.3,0.07,,,,,,,,,,,
19,23.98,0.32,0.04,,,,,,,,,,,
16,23.98,0.33,0.06,,,,,,,,,,,
17,23.96,0.35,0.06,,,,,,,,,,,
18,23.96,0.37,0.06,,,,,,,,,,,
19,23.96,0.38,0.07,,,,,,,,,,,
20,23.98,0.4,0.04,,,,,,,,,,,
21,23.96,0.42,0.08,,,,,,,,,,,
22,23.96,0.43,0.03,,,,,,,,,,,
23,23.96,0.45,0.06,,,,,,,,,,,
24,23.96,0.47,0.06,,,,,,,,,,,
25,23.96,0.48,0.02,,,,,,,,,,,
26,23.96,0.5,0.07,,,,,,,,,,,
27,23.96,0.52,0.02,,,,,,,,,,,
28,23.96,0.53,0.06,,,,,,,,,,,
29,23.96,0.55,0.06,,,,,,,,,,,
34,23.96,0.57,0.04,,,,,,,,,,,
35,23.96,0.58,0.08,,,,,,,,,,,
36,23.96,0.6,0.04,,,,,,,,,,,
37,23.96,0.62,0.07,,,,,,,,,,,
38,23.96,0.63,0.06,,,,,,,,,,,
39,23.96,0.65,0.05,,,,,,,,,,,
40,23.96,0.67,0.06,,,,,,,,,,,
41,23.96,0.68,0.03,,,,,,,,,,,
42,23.96,0.7,0.07,,,,,,,,,,,
43,23.96,0.72,0.02,,,,,,,,,,,
44,23.96,0.73,0.06,,,,,,,,,,,
45,23.96,0.75,0.05,,,,,,,,,,,
46,23.96,0.77,0.04,,,,,,,,,,,
47,23.96,0.78,0.09,,,,,,,,,,,
48,23.96,0.8,0.03,,,,,,,,,,,
49,23.96,0.82,0.09,,,,,,,,,,,
50,23.96,0.83,0.11,,,,,,,,,,,
51,23.96,0.85,0.05,,,,,,,,,,,
52,23.96,0.87,0.12,,,,,,,,,,,
53,23.96,0.88,0.12,,,,,,,,,,,
54,23.96,0.9,0.09,,,,,,,,,,,
55,23.96,0.92,0.12,,,,,,,,,,,
56,23.96,0.93,0.16,,,,,,,,,,,
57,23.96,0.95,0.11,,,,,,,,,,,
58,23.96,0.97,0.16,,,,,,,,,,,
59,23.93,0.98,0.44,,,,,,,,,,,
60,23.93,0,1443.48,,,,,,,,,,,
61,23.93,0.02,8.73,,,,,,,,,,,
62,23.93,0.03,7.33,,,,,,,,,,,
63,23.93,0.05,5.59,,,,,,,,,,,
64,23.93,0.07,3.75,,,,,,,,,,,
65,23.93,0.08,2.17,,,,,,,,,,,
66,23.93,0.1,1.56,,,,,,,,,,,
67,23.93,0.12,1.43,,,,,,,,,,,
68,23.93,0.13,1.16,,,,,,,,,,,
69,23.93,0.15,0.82,,,,,,,,,,,
70,23.93,0.17,0.62,,,,,,,,,,,
71,23.93,0.18,0.88,,,,,,,,,,,
72,23.93,0.2,0.88,,,,,,,,,,,
73,23.93,0.22,0.72,,,,,,,,,,,
74,23.93,0.23,0.67,,,,,,,,,,,
75,23.93,0.25,0.77,,,,,,,,,,,
76,23.91,0.27,0.64,,,,,,,,,,,
77,23.91,0.28,0.37,,,,,,,,,,,
78,23.91,0.3,0.23,,,,,,,,,,,
79,23.91,0.32,0.46,,,,,,,,,,,
80,23.91,0.33,0.77,,,,,,,,,,,
81,23.91,0.35,0.86,,,,,,,,,,,
82,23.91,0.37,0.76,,,,,,,,,,,
83,23.91,0.38,0.36,,,,,,,,,,,
84,23.91,0.4,0.14,,,,,,,,,,,
85,23.91,0.42,0.49,,,,,,,,,,,
86,23.91,0.43,0.74,,,,,,,,,,,
87,23.89,0.45,0.8,,,,,,,,,,,
88,23.89,0.47,0.63,,,,,,,,,,,
89,23.89,0.48,0.4,,,,,,,,,,,
90,23.89,0.5,0.21,,,,,,,,,,,
91,23.89,0.52,0.4,,,,,,,,,,,
92,23.89,0.53,0.63,,,,,,,,,,,
93,23.89,0.55,0.8,,,,,,,,,,,
94,23.89,0.57,0.74,,,,,,,,,,,
95,23.89,0.58,0.49,,,,,,,,,,,
96,23.89,0.6,0.14,,,,,,,,,,,
97,23.89,0.62,0.36,,,,,,,,,,,
98,23.89,0.63,0.76,,,,,,,,,,,
99,23.89,0.65,0.86,,,,,,,,,,,
100,23.87,0.67,0.77,,,,,,,,,,,
101,23.87,0.68,0.46,,,,,,,,,,,
102,23.89,0.7,0.23,,,,,,,,,,,
103,23.89,0.72,0.37,,,,,,,,,,,
104,23.87,0.73,0.64,,,,,,,,,,,
105,23.87,0.75,0.77,,,,,,,,,,,
106,23.87,0.77,0.67,,,,,,,,,,,
107,24.03,0.78,0.72,,,,,,,,,,,
108,24.14,0.8,0.88,,,,,,,,,,,
109,24.07,0.82,0.88,,,,,,,,,,,
110,24.46,0.83,0.62,,,,,,,,,,,
111,24.35,0.85,0.82,,,,,,,,,,,
112,24.53,0.87,1.16,,,,,,,,,,,
113,24.76,0.88,1.43,,,,,,,,,,,
114,24.87,0.9,1.56,,,,,,,,,,,
115,24.92,0.92,2.17,,,,,,,,,,,
116,24.97,0.93,3.75,,,,,,,,,,,
117,24.99,0.95,5.59,,,,,,,,,,,
118,24.9,0.97,7.33,,,,,,,,,,,
119,24.85,0.98,8.73,,,,,,,,,,,
120,23.93,0,1443.48,,,,,,,,,,,
121,23.93,0.02,8.73,,,,,,,,,,,
122,23.93,0.03,7.33,,,,,,,,,,,
123,23.93,0.05,5.59,,,,,,,,,,,
124,23.93,0.07,3.75,,,,,,,,,,,
125,23.93,0.08,2.17,,,,,,,,,,,
126,23.93,0.1,1.56,,,,,,,,,,,
127,23.93,0.12,1.43,,,,,,,,,,,
128,23.93,0.13,1.16,,,,,,,,,,,
129,23.93,0.15,0.82,,,,,,,,,,,
130,23.93,0.17,0.62,,,,,,,,,,,
131,23.93,0.18,0.88,,,,,,,,,,,
132,23.93,0.2,0.88,,,,,,,,,,,
133,23.93,0.22,0.72,,,,,,,,,,,
134,23.93,0.23,0.67,,,,,,,,,,,
135,23.93,0.25,0.77,,,,,,,,,,,
136,23.91,0.27,0.64,,,,,,,,,,,
137,23.91,0.28,0.37,,,,,,,,,,,
138,23.91,0.3,0.23,,,,,,,,,,,
139,23.91,0.32,0.46,,,,,,,,,,,
140,23.91,0.33,0.77,,,,,,,,,,,
141,23.91,0.35,0.86,,,,,,,,,,,
142,23.91,0.37,0.76,,,,,,,,,,,
143,23.91,0.38,0.36,,,,,,,,,,,
144,23.91,0.4,0.14,,,,,,,,,,,
145,23.91,0.42,0.49,,,,,,,,,,,
146,23.91,0.43,0.74,,,,,,,,,,,
147,23.89,0.45,0.8,,,,,,,,,,,
148,23.89,0.47,0.63,,,,,,,,,,,
149,23.89,0.48,0.4,,,,,,,,,,,
150,23.89,0.5,0.21,,,,,,,,,,,
151,23.89,0.52,0.4,,,,,,,,,,,
152,23.89,0.53,0.63,,,,,,,,,,,
153,23.89,0.55,0.8,,,,,,,,,,,
154,23.89,0.57,0.74,,,,,,,,,,,
155,23.89,0.58,0.49,,,,,,,,,,,
156,23.89,0.6,0.14,,,,,,,,,,,
157,23.89,0.62,0.36,,,,,,,,,,,
158,23.89,0.63,0.76,,,,,,,,,,,
